player_id,name,pos,gp,pts,WAA,WAR
00-0035510,Jeffrey Smith,WR,29,59.1,-4.758,-2.478
00-0037306,John FitzPatrick,TE,27,26.6,-4.513,-2.479
00-0028543,Jeffrey Maehl,WR,26,26.3,-4.643,-2.484
00-0037011,Tre' McKitty,TE,26,20.9,-4.274,-2.487
00-0027654,Arrelious Benn,WR,26,33.0,-4.466,-2.492
00-0029298,Cyrus Gray,RB,26,21.7,-4.536,-2.493
00-0026035,Daniel Amendola,WR,116,926.2,-11.885,-2.498
00-0033789,Tyrone Logan,RB,25,9.7,-4.632,-2.498
00-0034597,Ryan Nall,RB,26,22.5,-4.648,-2.5
00-0033367,Clarence Board,WR,26,33.4,-4.458,-2.502
00-0029281,Adrien Robinson,TE,26,18.5,-4.58,-2.509
00-0036857,Chris Evans,RB,29,48.7,-4.958,-2.512
00-0033933,Chad Williams,WR,27,37.7,-4.581,-2.515
00-0027003,Donald Brown,RB,49,237.5,-6.473,-2.518
00-0028198,Matthew Asiata,RB,54,287.3,-6.958,-2.519
00-0038685,Christopher Brooks,RB,30,55.2,-5.082,-2.526
00-0035621,Nsimba Webster,WR,23,0.0,-4.23,-2.527
00-0021570,Kassim Osgood,WR,24,0.0,-4.532,-2.534
00-0037429,Raheem Blackshear,RB,30,50.0,-5.115,-2.545
00-0036370,Joshua Kelley,RB,44,194.5,-6.251,-2.547
00-0033658,Blake Jarwin,TE,41,163.3,-5.621,-2.549
00-0033895,Gerald Everett,TE,97,685.4,-9.672,-2.55
00-0025414,Robert Meachem,WR,35,105.9,-5.492,-2.551
00-0032089,Brian Parker,TE,25,4.1,-4.511,-2.554
00-0031757,Rodney Whitehead,WR,26,27.7,-4.552,-2.554
00-0034988,Kaden Smith,TE,32,77.1,-4.77,-2.557
00-0033112,Temarrick Hemingway,TE,24,2.5,-4.253,-2.565
00-0034253,Dontrell Hilliard,RB,42,169.7,-6.224,-2.566
00-0037745,Velus Jones,WR,27,30.5,-4.64,-2.566
00-0030705,Juwan Thompson,RB,32,71.6,-5.175,-2.578
00-0029048,Joseph Banyard,RB,26,14.5,-4.681,-2.582
00-0035572,Parker Hesse,TE,27,22.2,-4.383,-2.584
00-0030154,Frankie Hammond,WR,25,6.8,-4.612,-2.595
00-0030113,Charles Johnson,WR,36,118.5,-5.511,-2.595
00-0030663,Willie Snead,WR,87,625.7,-9.589,-2.601
00-0026314,Joshua Morgan,WR,39,146.6,-5.863,-2.604
00-0029999,Zachary Sudfeld,TE,27,18.1,-4.783,-2.611
