season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0030348,Khiry Robinson,RB,8.8,-9.3,-2.8,-0.1004,-0.0305,25.9,0
2014,1,00-0029384,Bobby Rainey,RB,8.0,-10.1,-3.6,-0.1088,-0.0392,25.9,0
2014,1,00-0027753,Andrew Quarless,TE,7.1,-11.79,-4.5,-0.1264,-0.049,25.9,0
2014,1,00-0023500,Franklin Gore,RB,6.6,-11.5,-5.0,-0.1235,-0.0544,25.9,0
2014,1,00-0027057,Brandon Tate,WR,5.9,-11.59,-5.9,-0.1243,-0.0641,25.9,0
2014,1,00-0025396,Theodore Ginn,WR,4.9,-12.59,-6.9,-0.1347,-0.0748,25.9,0
2014,1,00-0031418,Austin Seferian-Jenkins,TE,4.1,-14.79,-7.5,-0.157,-0.0812,25.9,0
2014,1,00-0027691,Andre Roberts,WR,3.2,-14.29,-8.6,-0.152,-0.093,25.9,0
2014,1,00-0025542,Dante Rosario,TE,2.7,-16.19,-8.9,-0.171,-0.0961,25.9,0
2014,1,00-0028543,Jeffrey Maehl,WR,2.2,-15.29,-9.6,-0.162,-0.1035,25.9,0
2014,1,00-0026314,Joshua Morgan,WR,1.9,-15.59,-9.9,-0.165,-0.1067,25.9,0
2014,1,00-0031428,Allen Robinson,WR,1.0,-16.49,-10.8,-0.174,-0.1161,25.9,0
2014,1,00-0031187,Robert Herron,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027109,James Casey,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0028016,Austin Pettis,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0030671,Isaiah Burse,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027732,Michael Hoomanawanui,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029033,Griffith Whalen,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028532,Joseph Morgan,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028202,Kenneth Draughn,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0030992,Crockett Gillmore,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029264,Bernard Pierce,RB,-0.3,-18.4,-11.9,-0.1926,-0.1276,25.9,0
2014,1,00-0031431,Marqise Lee,WR,12.2,-5.29,0.4,-0.0575,0.0044,25.9,1
